"","X","title","company","location","summary","link","uniqueid","description"
"361",361,"Research Fellow, Inclusive Work Cultures","Catalyst Inc.","New York, NY","Collaborates with team in collecting data as well as managing and maintaining data sets, including verifying and ensuring data integrity and proper data storage…","https://www.indeed.com/rc/clk?jk=c58dd1fe46da48d5&fccid=f68fbe6717508b70&vjs=3","1c5f7dd1a8ab0ef93bc0e2155c7b8cf7","Title Research Fellow Inclusive Work CulturesDepartment ResearchReports To Director ResearchLocation VirtualRemoteABOUT CATALYSTWere a valuesdriven nonprofit that works with companies to help them build inclusive workplaces that work for women Catalyst has been around for more than 50 years and our research is widely respectedSUMMARY OF TEAMCatalyst research is the foundation of all our solutions for creating equitable workplaces We examine todays work environments and employees experiences in them using a rigorous and innovative research approach We use factbased scientific methodsincluding survey data from across the globe and largescale field studiesto explore barriers and measure success We deliver primary and secondary research tools and knowledge products in four main areas equity  inclusion men advocating real change MARC future of work and advancing womenCome join a fun flexible and interdisciplinary team with a passion for open dialogue learning and living our values We value accountability collaboration and creative problemsolving and leverage those to achieve business goals Our Research  Data Innovation Lab is a hub for primary research and you will play an integral role as a contributing member of the teamSUMMARY OF RESPONSIBILITIESCatalyst is seeking a creative and agile scholar on a parttime temporary appointment to support research efforts examining inclusion and equity within organizations As a research fellow you will contribute to projectteam activities including managing datasets conducting quantitative data analysis conducting literature reviews and writing summaries of both internal and external research findingsKEY RESPONSIBILITIESCollaborates with team in collecting data as well as managing and maintaining data sets including verifying and ensuring data integrity and proper data storageConducts quantitative and qualitative analyses synthesizes findings and summarizes resultsAssists Research team with project work as available and applicable including literature reviews and written reports and productsApproaches research from an intersectional frameworkPresents and leads discussions about research findings to small groups of team membersQUALIFICATIONSMasters degree or equivalent preferably in social science social work sociology psychology business or public administrationpublic policy A focus on organizational behavior leadership studies industrialorganizational psychology or related fields is strongly preferredPhD students and postdoctoral candidates are encouraged to applyStrong working knowledge of statistics specifically regression and ANOVA More advanced knowledge of statistical approaches is valuedAbility to use statistical software including SPSS to prepare manage and manipulate data for inferential statistical testing"
"363",363,"Senior Data Analyst, Product","K Health","New York, NY","Leverage data to shape your product squad's strategy, providing support and/or leadership wherever needed.","https://www.indeed.com/rc/clk?jk=422bb926d45bd767&fccid=c853f7a628ce4b9a&vjs=3","04367c7be3eaa15b0460f8a3d2cc5f5d","OverviewK Health is a venturebacked fastgrowing startup that aims to make healthcare information accessible to the world Our approach is unique in that we combine doctors mathematicians data scientists data architects and engineers work together to create a complex challenging consumerfacing product K Health is an exciting accelerating workplace and theres no better time to join the team than right now We are building a team of intellectually curious individuals with a creative approach to analytics that helps uncover actionable insightsAs a Product Analyst you will guide a product squads strategy and roadmap leading everything from strategic analyses to inform decisionmaking and prioritization to measuring product feature performance to building out data availability and BI solutions You are highly analytical and technical and you can communicate excellently with all stakeholders You thrive in a startup setting where every day is different and the problems that youre tackling often dont have established solutions Organizationally this is an embedded Analytics team position meaning that you will be a member of the Analytics Team embedded within your respective product squadWhat youll doLeverage data to shape your product squads strategy providing support andor leadership wherever neededCommunicate not just findings but also your recommendations to key stakeholders and leadership Youll use your insights to advocate for our users both internal and externalPartner with stakeholders across the organization taking time to understand the underlying questions to provide meaningful and actionable insightsWork with a variety of different data sets to help answer questions ranging from optimizing logistics in our car reconditioning centers to supporting online marketing effortsTransform complex datasets into easily digestible visualizations using a variety of analytics toolsTranslate and communicate results to stakeholders with a wide range of technical knowledgeCollaborate with other analysts on the team on projects like launching new data pipelines developing reporting or providing insights to drive business decisionsWhat youll bring3 years of fulltime working experience in quantitative analysis rolesSQL experience with comfort writing and editing complex queriesStrong experience using BI tools such as LookerA track record of strong communication successes from presentations to technical documentationStrong problem solving skills analytical aptitude and numerical dexterityA curiosity about all things data and eager to learn and improve your skillsBonus points for experience in Google Analytics Firebase Python or DBTWe value your personal growth and will gladly train you on any of our technologies that you dont currently have Ours is a culture where your voice will be heard and youll be able to see the result of your workBenefits  PerksFull medical dental and vision insuranceHealthcare and Dependent Care FSACommuter benefits401k"
"364",364,"Data Scientist (Various Levels), CCQ","Simons Foundation","New York, NY","Depending on experience and qualification, the position may be at the associate data scientist or data scientist level.","https://www.indeed.com/rc/clk?jk=398851a4c9a9ebcd&fccid=8844f3447ed4e2d6&vjs=3","37b6fef2ede0eaa07ac75526c9571bb1","POSITION SUMMARYDirected by Antoine Georges and codirected by Andrew Millis the Center for Computational Quantum Physics CCQ is a leading international center for the study of equilibrium and nonequilibrium manybody quantum systems with applications to condensed matter physics materials science chemistry and related fields The development of the concepts algorithms and code libraries needed to advance the field is fundamental to the work of the center Research projects currently pursued at CCQ cover a broad range of methods and interest see httpswwwsimonsfoundationorgflatironcenterforcomputationalquantumphysicsCCQ currently comprises more than 40 scientists at various career stages from recent PhDs through senior scientists also including data scientists support staff and scientific visitors and is planning to grow to 50 The institute has vigorous visitor and workshop programs and strong interactions with scientists from neighboring institutionsThe CCQ seeks a data scientist or associate data scientist with a background in computational physicschemistry methods and software development Depending on experience and qualification the position may be at the associate data scientist or data scientist level This fulltime position offers an exceptional longterm career opportunity at the interface of science and computing with flexibility to be immersed in frontier scientific research while focusing on computing algorithms and technical supportThe occupant of this position will report to a senior research scientist at CCQ and will be responsible for developing the core library and algorithms for a CCQ software suite for quantum Monte Carlo methods featuring auxiliaryfield and related approaches for both model systems and real materials The position also supports the associated scientific community by creating documentation responding to user questions and addressing bug reports This position may be expected to provide training through mentoring junior scientists giving lectures and tutorials at the Flatiron Institute and external activities such as summer schools The scientific output of this position also includes publications produced in collaboration with scientists at the Flatiron Institute and elsewhere Interactions with staff across the Flatiron Institute including domain scientists data scientists and the scientific computing core provide unparalleled opportunities for professional developmentMINIMUM QUALIFICATIONSEducationPhD in Physics Theoretical Chemistry or related fieldRequired Qualifications  Related SkillsExcellent abilities in the development of scientific software for researchExperience with quantum Monte Carlo or closely related methods and with lattice models electronic structure or quantum chemistry calculationsProficiency with a major programming language such as CEffective oral and written communication skillsAbility to work well independently as well as in a collaborative team environmentOther Desired QualificationsStrong knowledge in quantum manybody physics and chemistryExperience with the Julia or Python programming languageExperience with highperformance computing including MPI and GPU and with optimizing code performance in linuxunix environmentsRequired Application MaterialsCVVision statement outlining both past accomplishments and plans for engagement with the software development and scientific research at Flatiron InstituteThree 3 letters of recommendation submitted confidentially by the letter writers to ccqjobssimonsfoundationorgDeadlineReview of applications will commence immediately and will continue until the position is filledTHE SIMONS FOUNDATIONS DIVERSITY COMMITMENTMany of the greatest ideas and discoveries come from a diverse mix of minds backgrounds and experiences and we are committed to cultivating an inclusive work environment The Simons Foundation provides equal opportunities to all employees and applicants for employment without regard to race religion color age sex national origin sexual orientation gender identity genetic disposition neurodiversity disability veteran status or any other protected category under federal state and local law"
"365",365,"INTERN - INFORMATION MANAGEMENT [Temporary]","United Nations","New York, NY","Support the maintenance of key data sets, data models, indices and reports.","https://www.indeed.com/rc/clk?jk=83602dba5dc25260&fccid=65ae769cb89830ec&vjs=3","794ad6ded5306e49509f49b1f287bdde","Job detailsJob TypeFulltimeTemporaryFull Job DescriptionThe United Nations Operations and Crisis Unit UNOCC is part of the Office of the Director for Coordination and Shared Services ODCSS serving the Departments of Political and Peacebuilding Affiars DPPA and Peace Operations DPO ODCSS enables directs and coordinates departmental efforts to ensure the effective integration and management of both DepartmentsThe Department of Political and Peacebuilding Affairs DPPA focuses primarily on five action areas in international peace and security ensuring sound analysis and early warning preventing conflict and engaging in peacemaking managing political crises and violent conflicts sustaining peace and enhancing partnerships The Departments mandate is to prevent and resolve conflict through inclusive political solutionsThe Department of Peace Operations DPO serves as a center of excellence for peace operations responsible for preventing responding to and managing conflict and sustaining peace in countries where peace operations under its purview are deployed and provides support to other entities on peace and security issuesThe UNOCC provides rapid situational awareness and analysis of events in the field in order to enable informed coordinated and timely decisionmaking and strategic engagement on operations and crisis management at UN Headquarters UNHQ through 247 support to senior managers across the UN system The UNOCC Research and Liaison Unit provides the UNOCC with an analytical capacity to undertake indepth and mid to longterm research studies on current political security and operational issues affecting UN field missionsUNOCC internships are for an ideal period of six 6 months The internship is UNPAID and fulltime Interns work five days per weekResponsibilitiesUnder the overall supervision of the Data and Risk Analyst Research and Liaison Unit RLU the intern willSupport the preparation of visual materials for senior UN leadership including charts graphics and maps using rastervector manipulation tools such as Adobe suite and GIS softwareConduct independent research to inform the development of data visualizationsSupport the maintenance of key data sets data models indices and reportsDevelop dashboards and visualizations and provide user supportSupport data mining process optimization metrics development and forecastingSupport the facilitation of the Regional Monthly Review RMR process by assisting in the preparation of visual slide decks incorporating survey results from regional risk scanning meetings and country risk assessmentsSupport the update and maintenance of data for RMR risk models and composite indices that draw upon internal and external sources using Microsoft tools like Power Query and PowerBI to perform extract transform load tasksKeep abreast of UNOCC focus areas and related satellite imagery collectionsSupport the production of satellite imagery analysis products as requested and as directedCompetenciesCOMMUNICATIONSpeaks and writes clearly and effectivelyListens to others correctly interprets messages from others and responds appropriatelyAsks questions to clarify and exhibits interest in having twoway communicationTailors language tone style and format to match the audienceDemonstrates openness in sharing information and keeping people informedPLANNING AND ORGANIZINGDevelops clear goals that are consistent with agreed strategiesIdentifies priority activities and assignments adjusts priorities as requiredAllocates appropriate amount of time and resources for completing workForesees risks and allows for contingencies when planningMonitors and adjusts plans and actions as necessaryTECHNOLOGICAL AWARENESSActively seeks to apply emerging technology across tasksKeeps abreast of available technologyUnderstands applicability and opportunities of technology for the organizationEducationTo qualify for an internship with the United Nations Internship Programme the followingconditions must be met1Applicants at the time of application must meet one of the following requirementsa Be enrolled in or have completed a graduate school programme second university degreeor equivalent or higher orb Be enrolled in or have completed the final academic year of a first university degreeprogramme minimum bachelors level or equivalent2The field of study must be closely related to the type of internship you are applying for Studies in Economics Computer Science Engineering Information Management GIS Statistics Business Administration Economics Mathematics Political Science or other Social sciences is desirable3 Proficient in standard word processing and software applications such as Microsoft WordExcel and PowerPoint or similar Be proficient in standard office automation equipmentscanner printer etc4Have demonstrated keen interest in the work of the United Nations and have a personalcommitment to the ideals of the United Nations Charter5Have a demonstrated ability to successfully interact with individuals of different culturalbackgrounds and beliefs which include willingness to try and understand and be tolerant ofdiffering opinions and viewsWork ExperienceNo working experience is required to apply for the United Nations Internship Programme Your training education advance course work or skills should benefit the United Nations during your internshipLanguagesFluency in English both oral and written is required Knowledge of another UN official language is an advantageAssessmentEvaluation of qualified candidates may include an assessment exercise which will be followed by competencybased interviewSpecial NoticeThe internship is for a minimum period of three months with possibility of extension up to six monthsIn the context of the COVID19 pandemic applicants may be requested to undertake the internship remotely in view of constraints regarding visa issuance international travel and access to UN premises Applicants must be willing and prepared to undertake the internship remotely for a part or the entirety of the internshipIn your cover note please indicate when you would like to start your internship Please note that start and end dates are flexibleA completed online application Cover Note and Personal History Profile is required Incomplete applications will not be reviewedThe Cover Note must also includeTitle of degree you are currently pursuingGraduation Date When will you beare graduatinghave graduated from the programmeList the IT skills and programmes that you are proficient inList your top three areas of interest and please explain how your interests skills and knowledge match either the strategic support or the analytics trackExplain why you are the best candidate for this specific internship  Explain your interest in the United Nations Internship ProgrammeIn your online Personal History Profile be sure to include all past work experiences IT skills and three referencesDue to the high volume of applications received we can ONLY contact successful candidatesUnited Nations ConsiderationsAccording to article 101 paragraph 3 of the Charter of the United Nations the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency competence and integrity Candidates will not be considered for employment with the United Nations if they have committed violations of international human rights law violations of international humanitarian law sexual exploitation sexual abuse or sexual harassment or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts The term sexual exploitation means any actual or attempted abuse of a position of vulnerability differential power or trust for sexual purposes including but not limited to profiting monetarily socially or politically from the sexual exploitation of another The term sexual abuse means the actual or threatened physical intrusion of a sexual nature whether by force or under unequal or coercive conditions The term sexual harassment means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation when such conduct interferes with work is made a condition of employment or creates an intimidating hostile or offensive work environment and when the gravity of the conduct warrants the termination of the perpetrators working relationship Candidates who have committed crimes other than minor traffic offences may not be considered for employmentDue regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible The United Nations places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs The United Nations Secretariat is a nonsmoking environmentThe paramount consideration in the appointment transfer or promotion of staff shall be the necessity of securing the highest standards of efficiency competence and integrity By accepting an offer of appointment United Nations staff members are subject to the authority of the SecretaryGeneral and assignment by him or her to any activities or offices of the United Nations in accordance with staff regulation 12 c In this context all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the SecretaryGeneralApplicants are urged to follow carefully all instructions available in the online recruitment platform inspira For more detailed guidance applicants may refer to the Manual for the Applicant which can be accessed by clicking on Manuals hyperlink on the upper right side of the inspira accountholder homepageThe evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the United Nations including the Charter of the United Nations resolutions of the General Assembly the Staff Regulations and Rules administrative issuances and guidelines Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening No amendment addition deletion revision or modification shall be made to applications that have been submitted Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the applicationJob openings advertised on the Careers Portal will be removed at 1159 pm New York time on the deadline dateNo FeeTHE UNITED NATIONS DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS APPLICATION INTERVIEW MEETING PROCESSING OR TRAINING THE UNITED NATIONS DOES NOT CONCERN ITSELF WITH INFORMATION ON APPLICANTS BANK ACCOUNTS"
"366",366,"Data Scientist","Quartet Health","New York, NY","2-3 years experience as a data scientist.","https://www.indeed.com/rc/clk?jk=e5fa1ac54c20d57a&fccid=cbfe4b98d5d8dd69&vjs=3","54e0a76a03c5bfb1957d479b7f6b51b4","Full Job DescriptionCompany DescriptionQuartet is a platform that makes it easier for people to get the best mental health care for them Our technology and services reach people who need care connect them to the right care track the quality of their care and support their care journeys Backed by 1605MM in venture funding from top investors like Oak HCFT GV formerly Google Ventures FPrime Capital Partners Polaris Partners Deerfield Management Centene Corporation and Echo Health Ventures Quartet partners with health insurance plans and health systems in 32 states across the country to help people get the care they needAbout the team  opportunityAs a Data Scientist at Quartet you will work on a range of projects  developing statistical analyses to study impact of Quartet interventions predicting mental health needs among populations building machine learning models to suggest timely and appropriate behavioral health care interventions for patients Youll develop a deep understanding of Quartet interventions and the predictive models and algorithmsYou will design and develop effective models features and algorithms involving multiple datasets including user activity Electronic Health Records EHR admissions discharges and transfers ADT medical claims pharmacy claims and lab test claims Leverages knowledge of computer science machine learning data mining and software architecture to build highquality data products Supports the design of Quartet products including an entity resolution and deduplication library for linking patients and providers data which is collected from multiple sources a machine learning application for the detection of opioid use disorder in patients using supervised learning and deep learning and an optical mark recognition OMR computer vision application for transcribing paper assessmentsAccountabilitiesResearch and develop machinelearning and statistical models in Quartet Healths platform to improve software personalization and recommendations for usersDrives a datainformed process for experimenting with new products to improve patient outcomes and operational efficiencyPerforming ML research exploratory data analysis and computervision modeling developing model evaluation and online maintenance methodologies including confidence estimation calibration and concept driftDevelop generalpurpose frameworks to support machine learning applications in production Minimum Qualifications23 years experience as a data scientistFormal training in statistics and computer scienceKnowledge of mathematical fundamentals probability theory linear algebra and statisticsStrong data transformation and extraction skills with SQL databasesStrong statistical programming skills in both Python and RComfortselfsufficiency with Amazon Web Services infrastructureComfortselfsufficiency with Linux command lineComfortselfsufficiency with git for version controlAbility to work on projects from initial to final phase beginning by defining a problem developing an implementation plan and overseeing deployment and maintenanceAbility to clearly communicate across disciplines and work collaborativelyExperience with any of the following Docker TensorFlow Keras Numpy Scipy Pandas Gensim Scikitlearn NLKT JupyterEmployee Benefits for Quartet include Unlimited vacation volunteer opportunities team events mental healthcare coverage of 15 free therapy sessions  unlimited copay reimbursements medical dental  vision coverage generous parental and military leave commuter benefits 401K and stock option grantsWant to know what Quartet life is like Click here to meet our teamQuartet is committed to building a diverse team and fostering an inclusive culture and is proud to be an equal opportunity employer We embrace and encourage our employees differences in race religion color national origin gender family status sexual orientation gender identity gender expression age veteran status disability pregnancy medical conditions and other characteristics Headhunters and recruitment agencies may not submit resumesCVs through this Web site or directly to managers Quartet does not accept unsolicited headhunter and agency resumes Quartet will not pay fees to any thirdparty agency or company that does not have a signed agreement with QuartetPlease note Quartet interview requests and job offers only originate from quartethealthcom email addresses eg jsmithquartethealthcom Quartet will also never ask for bank information eg account and routing number social security numbers passwords or other sensitive information to be delivered via email If you receive a scam email or wish to report a security issue involving Quartet please notify us at securityquartethealthcomHave someone to refer Email talentquartethealthcom to submit their details to us"
"368",368,"College Aide","Public Health Solutions","New York, NY","The bureau is a very large customer service operation, providing death certification services on a 24/7 basis, issuing more than 900,000 certified copies of…","https://www.indeed.com/rc/clk?jk=64e08191f8c5e0f6&fccid=fb55aa512078e608&vjs=3","9e302a254d522418593ec6060f6cad39","Company OverviewWith an annual budget of 16 billion and more than 6000 employees throughout the five boroughs The New York City NYC Department of Health and Mental Hygiene DOHMH is one of the largest public health agencies in the world serving 8 million New Yorkers from diverse ethnic and cultural backgrounds With over 200 years of leadership in the field were also one of our nations oldest public health agencies The challenges we face range from obesity diabetes and heart disease to HIVAIDS tobacco addiction and substance abuse and the threat of bioterrorism Were tackling these issues with innovative policies and programs and getting exceptional results but our work is never finished The breadth of our innovative programs provides the widest range of choices for every member of our teamProgram DescriptionThe NYC Department of Health and Mental Hygiene DOHMH is an agency recognized worldwide for being a leader in public health The Bureau of Vital Statistics is responsible for registering and certifying all birth deaths spontaneous and induced terminations of pregnancy in NYC The bureau issues analyzes and reports on 285000 vital events each year The bureau is a very large customer service operation providing death certification services on a 247 basis issuing more than 900000 certified copies of birth and death records and fulfilling hundreds of data requests annuallyThe College Aide will be responsible for the followingVerifying all work processed for COVID19 death related orders to ensure the delivery to the correct requestor  we are anticipating a second surge and must reduceprevent any backlogs with COVIDrelated death requests as families need the death certificates to apply for benefits inheritance entitlements close out apartments etcScanning backlogged correction applications and supporting documents from 2009 a major ongoing scanning projectScanning supporting documentation for preadoption requests these are backlogged and must now be prioritizedAssisting with preparing and moving records to a temporary location for the Queens vault asbestos abatement projectQualificationsHighly organizedProficient in Microsoft Office Applications and type at least 45 WPM"
"369",369,"Analyst","InTune Analytics","New York, NY","Strong background in finance, mathematics, statistics or a related field.","https://www.indeed.com/rc/clk?jk=217abb9049885031&fccid=c55f0a8d94b2c24f&vjs=3","8bdc813f01b50e00f03f3ba1603cf94b","What Youll DoAs an analyst at InTune you will work closely with our portfolio managers forming a deep understanding of our existing trading strategies and procedures As you grow you will be tasked with diving deep into our platform building your own trade book and leading a diverse set of projects to improve our trading activities Some of those projects includeRegularly conducting qualitative reviews and providing guidance on significant market eventstrendsProducing regular as well as adhoc analysis to support or challenge positions in our bookBuilding mathematical algorithmic computerdriven models that seek to predict market movementsBuilding and testing new market signalsAnalyzing past trades and historical data constantly seeking to improve our strategiesWhat Youll BringRequiredStrong background in finance mathematics statistics or a related fieldExcellent problemsolving abilities and judgment with a strong attention to detailAn obsessive curiosity and eagerness to challenge the normSelfstarter relentless workethic with a collaborative personalityA passion for markets and extensive knowledge of fundamental economic principlesA competitive attitude and eagerness to constantly developPreferredBABS or equivalent from a leading university in a quantitative or highly analytical fieldA passion for music and live entertainmentExperience managing portfolios of equities or derivatives on a personal or professional scale"
"372",372,"Vice President, Supplier Quality","The Estée Lauder Companies","New York, NY","Thorough knowledge of applied statistics.","https://www.indeed.com/rc/clk?jk=8c9adfab52cdb21a&fccid=5cbdaa742f7e51f3&vjs=3","ff3a21e2e0a7973da99d7e3cf459d51a","Lead and manage the global Supplier Quality department Accountable for ensuring supplier products raw materials components FG meet the Estee Lauder Quality System  approved Standards Responsible for the evaluation and monitoring of Supplier Quality Performance implementing corrective actions and improving supplier capabilities Sets Supplier Quality strategy budgets improvement initiatives and organizational structure capable of achieving our company and global Quality objectives and long term growth plans with our suppliers Oversee the implementation of ELCs Quality Policy and Procedures at the suppliers Strong partnership with the QA Audit group for a robust Audit program implementation aligned with Supplier QA strategy and priorities Successfully collaborate with our partnering departments functions and suppliers to prioritize  support ongoing projects and to effectively resolve in a timely manner issues with sustainable corrective actionsSet the strategy for the Supplier Quality department identify key initiatives required to enable that strategy and ensure resources and org structure are in place globally to operationalize successfully 10Establish and monitor the Supplier Quality budget globally in alignment with FY strategy and operational needs 5Continuously monitor and evaluate Supplier Quality departmental and supplier performance against KPIs metrics scorecards budget etc to prioritize resources to ensure execution with excellence against goals 15Prioritize and oversee rapid  effective resolution of issues with our suppliers Champion open communication transparency and collaboration while inspiring a culture of Quality across ELC in order to prevent and address supplier issues 20Ensure an effective riskbased supplier qualification auditing monitoring and CAPA program is meeting expectations in close collaboration with Auditing and GSR 20Identify improvement needs establish clear project charters and provide leadership necessary to drive successful completion of improvement projects Collaborate with other departments and functions to ensure stakeholder alignment and support 20Foster employee Supplier Quality team growth through development and recognition by identifying  addressing competency gaps leveraging team strengths celebrating successes and ensuring an engaged and empowered team 10Qualifications1215 years experience in leadership roles for a global consumer goods or pharma companyExperience in managing a global team and in coaching and developing teams Able to develop a strong talent benchExperience is required to lead multiple change projects and shows aptitude to challenge the normExperience in developing strategy and ensuring budgetary alignmentShows the potential to move one level up or move into another functionGood communication skills can translate complex information in an easy way Ability to cascade strategy into the team Ability to communicate with leadership from other functionsTeam player and highly motivated to make a differenceShows learning agility able to move quickly to changing demandsThorough knowledge of Quality Management systemsThorough knowledge of applied statisticsThorough technical knowledge of and insight in production processesSix sigma black belt or equivalent  Extensive knowledge of lean techniquesProject management skillsProblem solving skills are essentialAuditing experience is a plusEngineering or scientific university degree with additional training in quality managementJob Quality Assurance  Supply ChainPrimary Location USNYNew YorkJob Type StandardSchedule FulltimeShift 1st Day ShiftJob Number 205155We are an equal opportunity employer Minorities women veterans and individuals with disabilities are encouraged to apply It is Companys policy not to discriminate against any employee or applicant for employment on the basis of race color creed religion national origin ancestry citizenship status age sex or gender including pregnancy childbirth and related medical conditions gender identity or gender expression including transgender status sexual orientation marital status military service and veteran status physical or mental disability protected medical condition as defined by applicable state or local law genetic information or any other characteristic protected by applicable federal state or local laws and ordinances The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview please contact USApplicantAccommodationsEsteecom"
"373",373,"Human Resources Analyst, Data and Statistics, Directorate, D...","UNFPA","New York, NY","Two years of progressively responsible HR data analytics experience is required;","https://www.indeed.com/rc/clk?jk=2a3972b3d704c40b&fccid=34cea85fc05160b9&vjs=3","249923e42ca64c449aa10eb4d4383dd6","Level P2Contract Type Fixed Term AppointmentClosing date 20 December 2020  500pmNew York timeDuty station New YorkJob ID 33920The PositionAs a member of the HR Directorates Analytics cluster you will provide analytical support manage HR databases produce periodic and ad hoc reports and develop and maintain HR information and reporting systemsYou will report directly to the HR Specialist Workforce Planning  AnalyticsHow you can make a differenceUNFPA is the lead UN agency for delivering a world where every pregnancy is wanted every childbirth is safe and every young persons potential is fulfilled UNFPAs strategic plan 20182021 focuses on three transformative results to end preventable maternal deaths end unmet need for family planning and end genderbased violence and harmful practices These results capture our strategic commitments to accelerating progress towards realizing the ICPD and SDGs in the Decade of ActionIn a world where fundamental human rights are at risk we need principled and ethical staff who embody these international norms and standards and who will defend them courageously and with full convictionUNFPA is seeking candidates that transform inspire and deliver high impact and sustained results we need staff who are transparent exceptional in how they manage the resources entrusted to them and who commit to deliver excellence in programme resultsJob PurposeThe HR Analyst Data and Statistic is responsible for supporting DHR and its clients with workforce analytics reporting on internal and external trends managing and maintaining HR databases producing both regular periodic and ad hoc reports developing and maintaining HR information and reporting systems and support DHR staff with program specific data analysisRequirementsQualifications and ExperienceEducationAdvanced University degree in Management Information Systems Statistics Computer Sciences Information Sciences Human Resources Business Administration or related disciplineKnowledge and ExperienceTwo years of progressively responsible HR data analytics experience is requiredDemonstrated knowledge of analyticalstatistical methods tools and software applicationsKnowledge and experience of development of HR systemsGeneral knowledge and understanding of HR policies processes and approachesStrong track record of producing analytics reports and presentations for decision making purposesProven ability to serve on project teams and execute tasks for completion of complex projectsStrong analytical skillsStrong quality control orientation attention to detailStrong collaboration and communication skillsLanguagesFluency in English knowledge of other official UN languages preferably French andor Spanish is desirable"
"374",374,"Lead Food Data Nutritionist","WW (formerly Weight Watchers)","New York, NY","Experience in food data as a foundation for digital consumer facing products or B2B preferred.","https://www.indeed.com/rc/clk?jk=8ea793fd51c86de8&fccid=088981af222032de&vjs=3","c1a3d1b214fadcf988b3ed9e0e3cc4ae","Company OverviewWW is looking for candidates to help change peoples lives We are a global wellness technology company inspiring millions of people to adopt healthy habits for real life We do this through engaging digital experiences facetoface workshops and sustainable programs that encourage people to move more shift their mindset and eat healthier while enjoying the foods they love By drawing on over five decades of experience and expertise in behavioral science we build communities in order to deliver wellness for allTo learn more about WW and jobs with a purpose visit wwcomRole OverviewThe WW global food data is one of the most important foundations of the WW digital product It underpins the program experience that enables millions of members to eat healthier and lose weight Together with a newly formed team of data scientists engineers and a product manager the candidate will work to further develop the WW food data footprint in Canada US and South America The candidate will be heading the team of nutritionists that evaluate the representation of relevant foods in the local WW food data as well as their categorization qualitycontrol and their health aspect to power WW digital experiencesKey ResponsibilitiesCreate a vision and strategy for the food data nutrition team that will be translated into a road mapManage a team of nutritionists or RDs to achieve the team goalsTogether with a newly formed team of data scientists engineers and a product manager develop the WW food data footprint in Canada US and South AmericaPartner within leadership and crossfunctional teams to align on business priorities and strategiesRequirementsA Masters degree in Nutrition Science or Registered DieticianEnglish fluently Spanish native or second language2 years directly managing people ideally in the field of nutrition and shaping their career developmentExcellent communication skills with a demonstrated ability to align stakeholders multiple teams and leadership to recommended strategy and solutionsPassion for health and food data eg labels for grocery products and nutrients in meals and restaurant foods food classification differences in food culture and cookingStrong experience with data analysis establishing metrics and proactive reporting on metricsExcellent sense of empathy for different internal users especially coming from different cultural backgroundsExperience in food data as a foundation for digital consumer facing products or B2B preferredExperience in working in an agile environment preferredAs a company our purpose is to inspire healthy habits for real life And as an employer we inspire the greatest people to do their best work We provide benefits for real life to help protect your health finances and overall wellbeing includingCompetitive compensation and profitsharing planA 401K plan to help you plan for your future plus company matchHealth care coverage starting on your first dayTuition reimbursement and online courses to help you reach your career aspirationsCommuter benefitsYearly wellbeing allowance for your physical financial social and emotional wellbeingFree WW membership for you plus 3 free WW memberships for your friends and 3 for your familyFree fruit snacks and coffee to get you through your daySummer Fridays happy hours and company outingsRobust employee referral bonusesDevelopmental opportunities and assignments to grow your careerWW is an equal opportunity employer WW does not discriminate on the basis of sex race color creed national origin marital status age religion sexual orientation gender identity gender expression veteran status or disabilityAny offer of employment is contingent upon the satisfactory results of reference and background checks"
